run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,cagr_pct,benchmark_cagr_pct,annualized_excess_pct,calmar,positive_annualized_excess,calmar_ge_0_3,step04_numeric_gate,image_file,source_note
m2_recent_confirm,31,5,complete,46.4,47.47,0.02,0.22,0.2,19.3,6.559010607695037,6.688419150117952,-0.12940854242291522,0.33984510920699673,False,True,False,codex-clipboard-e85bc257-4783-44ec-a7df-3a4ac656c872.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,31,1,complete,8.2,47.47,-0.03,0.2,-0.2,22.86,1.3221842387646676,6.688419150117952,-5.366234911353285,0.057838330654622384,False,False,False,codex-clipboard-1ce5eab2-7baf-492b-9eab-52b3dc4aea32.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,14,20,complete,-0.02,47.47,-0.05,13.71,-0.23,39.06,-0.003333611145062143,6.688419150117952,-6.6917527612630145,-8.534590745166777e-05,False,False,False,codex-clipboard-4473f53a-c876-4133-8127-6a8683563bc3.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,14,10,complete,77.57,47.47,0.06,0.21,0.48,18.45,10.042791584653044,6.688419150117952,3.354372434535091,0.5443247471356664,True,True,True,codex-clipboard-5d2e8140-2f34-42da-b056-20f21230367c.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,14,5,complete,28.25,47.47,0.0,0.24,0.03,19.11,4.234037939449564,6.688419150117952,-2.454381210668388,0.22156137830714623,False,False,False,codex-clipboard-2f4b7fc1-8b6c-4a07-b684-81e71bbb7bee.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,14,1,complete,-31.16,47.47,-0.11,0.22,-0.73,45.23,-6.033407808589287,6.688419150117952,-12.721826958707238,-0.13339393784190332,False,False,False,codex-clipboard-f1983a8c-57dd-4580-87af-78d4c2070f0a.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,252,20,complete,72.34,47.47,0.05,0.37,0.33,28.2,9.49585558031476,6.688419150117952,2.807436430196808,0.33673246738704826,True,True,False,codex-clipboard-b0bd3550-60a0-4ebc-8167-d4ff2b9505c3.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,252,10,complete,57.89,47.47,0.03,0.37,0.24,27.59,7.9093568532879965,6.688419150117952,1.2209377031700441,0.2866747681510691,True,False,False,codex-clipboard-e01df42d-03e0-48c4-bcdf-92a3baf2989a.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,252,5,complete,42.09,47.47,0.01,0.36,0.12,25.18,6.029631581100747,6.688419150117952,-0.6587875690172051,0.23946114301432672,False,False,False,codex-clipboard-0274769d-7a79-4f74-bcca-f2ade1d9f4d7.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,252,1,complete,39.87,47.47,0.01,0.32,0.11,24.31,5.7517174322510245,6.688419150117952,-0.9367017178669279,0.23659882485606848,False,False,False,codex-clipboard-cf89674f-80de-47d8-a703-e9b9569fcb26.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,126,20,complete,48.51,47.47,0.02,0.28,0.19,21.28,6.813451716582919,6.688419150117952,0.12503256646496652,0.3201810017191221,True,True,False,codex-clipboard-c3fa06c1-e0dc-4c74-94d6-682edae9258e.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,126,10,complete,77.36,47.47,0.05,0.32,0.39,22.07,10.021090864061621,6.688419150117952,3.332671713943669,0.4540593957436167,True,True,True,codex-clipboard-ccad9e4e-e321-4bdf-b541-365f0dc0838d.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,126,5,complete,63.56,47.47,0.04,0.25,0.31,17.83,8.545756637134527,6.688419150117952,1.8573374870165749,0.4792908938381676,True,True,True,codex-clipboard-04b37002-9697-4475-9146-0735136bf659.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,126,1,complete,23.61,47.47,-0.01,0.27,-0.02,29.77,3.5958284381193417,6.688419150117952,-3.0925907119986107,0.12078698146185225,False,False,False,codex-clipboard-36b306a3-4ba5-4e54-acc5-dd0d292e02cb.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,63,20,complete,-26.44,47.47,-0.1,0.3,-0.59,54.4,-4.9890588521747326,6.688419150117952,-11.677478002292684,-0.0917106406649767,False,False,False,codex-clipboard-c0459868-d40a-4a6d-8132-4053c1cc2d86.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,63,10,complete,1.96,47.47,-0.04,0.23,-0.26,41.15,0.3240304058722554,6.688419150117952,-6.364388744245697,0.00787437195315323,False,False,False,codex-clipboard-13d4911c-5460-41a2-8a30-a326281c5143.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,63,5,complete,27.72,47.47,0.0,0.25,0.02,22.87,4.162121882774938,6.688419150117952,-2.526297267343014,0.1819904627361145,False,False,False,codex-clipboard-384af1f2-bc9c-4df5-9b41-f4314c855e25.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,63,1,complete,64.1,47.47,0.04,0.23,0.33,19.09,8.60540267736145,6.688419150117952,1.9169835272434987,0.4507806536072002,True,True,True,codex-clipboard-bdee717c-6bd9-4489-87b7-7f3b17f97073.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,31,20,complete,60.84,47.47,0.04,0.22,0.33,18.76,8.242798198818413,6.688419150117952,1.5543790487004605,0.4393815671011947,True,True,True,codex-clipboard-cc3dd8d2-4da5-4a31-a219-8faee75d2316.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,31,10,complete,92.76,47.47,0.07,0.16,0.62,16.32,11.558539413177904,6.688419150117952,4.870120263059952,0.7082438365917832,True,True,True,codex-clipboard-b08d469a-6cd8-4e50-82ba-a17a795b7745.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,31,5,complete,41.12,47.47,0.01,0.23,0.15,21.84,5.908648968857899,6.688419150117952,-0.7797701812600533,0.27054253520411625,False,False,False,codex-clipboard-91436f65-2fc1-4d71-82ef-4655fe76da60.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,31,1,complete,10.61,47.47,-0.03,0.21,-0.16,20.98,1.6948746614959598,6.688419150117952,-4.993544488621993,0.08078525555271496,False,False,False,codex-clipboard-9d917b4f-c139-4a95-91f6-d47870a1c377.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,14,20,complete,1.65,47.47,-0.05,0.41,-0.22,39.06,0.27312821877545357,6.688419150117952,-6.415290931342499,0.006992529922566656,False,False,False,codex-clipboard-dc1c26f9-1502-44b9-8a82-c4047d7cf8d7.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,14,10,complete,84.32,47.47,0.06,0.21,0.51,15.21,10.729178260731477,6.688419150117952,4.040759110613523,0.7054029099757708,True,True,True,codex-clipboard-09a2d04d-5acd-4531-af69-9ac500a49fc7.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,14,5,complete,27.59,47.47,-0.01,0.27,0.02,19.71,4.144444121193702,6.688419150117952,-2.54397502892425,0.21027113755422133,False,False,False,codex-clipboard-af974af1-9990-4870-a8aa-1aa80cd29cc7.png,早期截图OCR；参数由代码区或红色标注复核
m2_ranked_recent,14,1,complete,-16.37,47.47,-0.08,0.24,-0.48,39.96,-2.9355161535770335,6.688419150117952,-9.623935303694985,-0.07346136520463047,False,False,False,codex-clipboard-c249b0b6-00e9-4f48-ae7e-630439e48279.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,252,20,complete,75.95,47.47,0.05,0.5,0.29,43.7,9.87482891882503,6.688419150117952,3.186409768707077,0.22596862514473748,True,False,False,codex-clipboard-5dffa4ee-75a3-4552-89b0-dc804ef4201a.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,252,10,complete,80.09,47.47,0.05,0.51,0.31,43.74,10.301546018202812,6.688419150117952,3.6131268680848594,0.23551774161414749,True,False,False,codex-clipboard-ce1801ae-f86d-422f-84ac-b94840447d38.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,252,5,complete,87.56,47.47,0.06,0.52,0.34,43.71,11.05122936952807,6.688419150117952,4.362810219410118,0.2528306879324656,True,False,False,codex-clipboard-5227454f-2d60-45c5-a857-3042faa1189e.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,252,1,complete,86.61,47.47,0.06,0.52,0.34,43.7,10.957284313981397,6.688419150117952,4.2688651638634445,0.2507387714869885,True,False,False,codex-clipboard-1ad1849a-b697-42b6-b1da-f29d1ae57dc5.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,126,20,complete,20.48,47.47,-0.02,0.51,-0.04,43.7,3.1539413833063357,6.688419150117952,-3.5344777668116167,0.0721725717003738,False,False,False,codex-clipboard-7a0f212b-bf9f-4c07-9222-647bd5342d68.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,126,10,complete,36.38,47.47,0.0,0.53,0.07,43.74,5.307292667013064,6.688419150117952,-1.3811264831048886,0.12133728091022093,False,False,False,codex-clipboard-283c6560-ceeb-4082-8d42-f136e6dbcd9a.png,早期截图OCR；参数由代码区或红色标注复核
