signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,top_sector_symbols,top_sector_momentums,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2019-10-31,2,512480|512170,半导体ETF国联安|医疗ETF华宝,sector,半导体|医疗,2,0.5,0.11418048|0.09043928,512480|512170,0.11418048|0.09043928,512480,0.11418047882136273,511010,-0.0025782561298470785,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-11-29,2,512800|512010,银行ETF华宝|医药ETF易方达,sector,银行|医药,2,0.5,0.03415560|0.02901786,512800|512010,0.03415560|0.02901786,512800,0.034155597722960174,511010,0.0042644845423249755,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-12-31,2,512480|512400,半导体ETF国联安|有色金属ETF南方,sector,半导体|有色金属,2,0.5,0.17927632|0.17815126,512480|512400,0.17927632|0.17815126,512480,0.17927631578947367,511260,0.01664468554155385,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-01-23,2,512480|512980,半导体ETF国联安|传媒ETF广发,sector,半导体|传媒,2,0.5,0.54468803|0.16291391,512480|512980,0.54468803|0.16291391,512480,0.5446880269814505,511260,0.021188912155895467,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-02-28,2,512480|512170,半导体ETF国联安|医疗ETF华宝,sector,半导体|医疗,2,0.5,0.47750363|0.20581114,512480|512170,0.47750363|0.20581114,512480,0.4775036284470249,511260,0.0339140843197232,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-03-31,2,512170|159928,医疗ETF华宝|消费ETF汇添富,sector,医疗|消费,2,0.5,0.06950673|0.05914718,512170|159928,0.06950673|0.05914718,512170,0.06950672645739897,511260,0.029513384956787903,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-04-30,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.18048780|0.08597884,512690|159928,0.18048780|0.08597884,512690,0.18048780487804872,511010,0.03935400972512659,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-05-29,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.79428571|0.14538043,512690|159928,0.79428571|0.14538043,512690,0.7942857142857145,511010,0.010798775860774823,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-06-30,2,512690|512170,酒ETF鹏华|医疗ETF华宝,sector,白酒/酒|医疗,2,0.5,0.70638298|0.28030303,512690|512170,0.70638298|0.28030303,512690,0.7063829787234044,511260,-0.02748325393129636,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-07-31,2,512690|512010,酒ETF鹏华|医药ETF易方达,sector,白酒/酒|医药,2,0.5,0.57530120|0.36727273,512690|512010,0.57530120|0.36727273,512690,0.5753012048192772,511010,-0.016233632120285835,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-08-31,2,512690|512660,酒ETF鹏华|军工ETF国泰,sector,白酒/酒|军工,2,0.5,0.43449782|0.35259434,512690|512660,0.43449782|0.35259434,512690,0.4344978165938864,511010,-0.015098062164557113,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-09-30,2,512690,酒ETF鹏华,sector,白酒/酒,1,1.0,0.06616257,512690|512800,0.06616257|-0.00382409,512690,0.06616257088846855,511260,-0.0023610775437357123,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-10-30,2,515030|512690,新能源车ETF华夏|酒ETF鹏华,sector,新能源车|白酒/酒,2,0.5,0.14246324|0.10367893,515030|512690,0.14246324|0.10367893,515030,0.14246323529411775,511010,0.0007953228249188982,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-11-30,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.29537367|0.22557078,512690|515030,0.29537367|0.22557078,512690,0.2953736654804269,511010,-0.003341602956812295,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2020-12-31,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.45255474|0.29393468,512690|515030,0.45255474|0.29393468,512690,0.45255474452554734,511010,0.001485733580955717,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
