date,position,strategy_return,strategy_return_after_cost,trade,nav
2015-12-18,511010,0.002628479909557724,0.002628479909557724,False,0.8747434109323535
2015-12-21,511010,0.003955874614748556,0.003955874614748556,False,0.8782037861860794
2015-12-22,511010,-0.0005802798446347124,-0.0005802798446347124,False,0.8776941822294737
2015-12-23,511010,0.00039332103424705167,0.00039332103424705167,False,0.8780393978129808
2015-12-24,511010,0.0013760823777204667,0.0013760823777204667,False,0.8792476523552555
2015-12-25,511010,-0.0004487155517330921,-0.0004487155517330921,False,0.8788531202598189
2015-12-28,511010,0.004348883318992858,0.004348883318992858,False,0.8826751499343616
2015-12-29,511010,-0.0006239000270045203,-0.0006239000270045203,False,0.8821244488844813
2015-12-30,511010,-0.00028885037550552273,-0.00028885037550552273,False,0.8818696469061784
2015-12-31,511010,-0.001137094444081943,-0.001137094444081943,False,0.880866877830277
2016-01-04,512010,-0.02108433734939763,-0.02128433734939763,True,0.8621182100426267
2016-01-05,512010,-0.006153846153846176,-0.006153846153846176,False,0.8568128672115951
2016-01-06,512010,0.006191950464396356,0.006191950464396356,False,0.8621182100426267
2016-01-07,512010,-0.03076923076923077,-0.03076923076923077,False,0.835591495887469
2016-01-08,512010,0.015873015873015817,0.015873015873015817,False,0.8488548529650478
2016-01-11,512010,-0.05312500000000009,-0.05312500000000009,False,0.8037594389012795
2016-01-12,512010,0.0,0.0,False,0.8037594389012795
2016-01-13,512010,-0.0033003300330033403,-0.0033003300330033403,False,0.8011067674857637
2016-01-14,512010,-0.019867549668874163,-0.019867549668874163,False,0.7851907389926691
2016-01-15,512010,-0.057432432432432345,-0.057432432432432345,False,0.7400953249289011
2016-01-18,512010,0.0035842293906809264,0.0035842293906809264,False,0.7427479963444168
2016-01-19,512010,0.02499999999999991,0.02499999999999991,False,0.7613166962530271
2016-01-20,512010,-0.0034843205574912606,-0.0034843205574912606,False,0.7586640248375114
2016-01-21,512010,-0.01748251748251728,-0.01748251748251728,False,0.7454006677599326
2016-01-22,512010,0.003558718861209842,0.003558718861209842,False,0.7480533391754484
2016-01-25,512010,0.010638297872340496,0.010638297872340496,False,0.7560113534219958
2016-01-26,512010,-0.024561403508771784,-0.024561403508771784,False,0.7374426535133854
2016-01-27,512010,0.007194244604316502,0.007194244604316502,False,0.742747996344417
2016-01-28,512010,-0.0357142857142857,-0.0357142857142857,False,0.7162212821892593
2016-01-29,512010,0.029629629629629672,0.029629629629629672,False,0.7374426535133856
2016-02-01,511010,-1.866890693547063e-05,-0.00021866890693547064,True,0.7372813977344143
2016-02-02,511010,-0.0001400194160257051,-0.0001400194160257051,False,0.7371781640236569
2016-02-03,511010,0.0011296481286118265,0.0011296481286118265,False,0.7380109159570997
2016-02-04,511010,-0.00033571441893431864,-0.00033571441893431864,False,0.737763155051282
2016-02-05,511010,0.00028918449971082616,0.00028918449971082616,False,0.7379765047201806
2016-02-15,511010,0.0019117962491490559,0.0019117962491490559,False,0.7393873654338647
2016-02-16,511010,-3.723216114071004e-05,-3.723216114071004e-05,False,0.7393598364443295
2016-02-17,511010,2.7925160569708396e-05,2.7925160569708396e-05,False,0.739380483186481
2016-02-18,511010,-0.0006236445040165295,-0.0006236445040165295,False,0.7389193726117647
2016-02-19,511010,0.0009034517445001278,0.0009034517445001278,False,0.7395869506079957
2016-02-22,511010,-3.7222113657642275e-05,-3.7222113657642275e-05,False,0.7395594216184604
2016-02-23,511010,0.0005769642375230699,0.0005769642375230699,False,0.7399861209562575
2016-02-24,511010,0.00157178597669283,0.00157178597669283,False,0.7411492207641238
2016-02-25,511010,-0.0008078744544526284,-0.0008078744544526284,False,0.740550465241731
2016-02-26,511010,0.0007713539585327833,0.0007713539585327833,False,0.7411216917745884
2016-02-29,511010,0.00010214884014625447,0.00010214884014625447,False,0.7411973964958104
2016-03-01,511010,0.0014577936247062162,0.0014577936247062162,False,0.7422779093350709
2016-03-02,511010,0.00037087173401095797,0.00037087173401095797,False,0.742553199230424
2016-03-03,511010,-0.0006673216304892149,-0.0006673216304892149,False,0.7420576774187885
2016-03-04,511010,-0.0005842963402645784,-0.0005842963402645784,False,0.7416240958336074
2016-03-07,511010,-0.00033407882404257183,-0.00033407882404257183,False,0.7413763349277898
2016-03-08,511010,0.0002042275094455981,0.0002042275094455981,False,0.7415277443702339
2016-03-09,511010,0.0007332126780823511,0.0007332126780823511,False,0.742071441913556
2016-03-10,511010,0.001289137854280975,0.001289137854280975,False,0.7430280742999077
2016-03-11,511010,0.002760204885006834,0.002760204885006834,False,0.7450789840202875
2016-03-14,511010,-0.0024477882155161668,-0.0024477882155161668,False,0.7432551884635739
2016-03-15,511010,-0.0003333456794696321,-0.0003333456794696321,False,0.7430074275577562
2016-03-16,511010,0.001713597628751451,0.001713597628751451,False,0.7442806433237639
2016-03-17,511010,-9.246844514199104e-06,-9.246844514199104e-06,False,0.7442737610763801
2016-03-18,511010,-9.246930019246591e-06,-9.246930019246591e-06,False,0.7442668788289962
2016-03-21,511010,-0.0009709366302026456,-0.0009709366302026456,False,0.7435442428536946
2016-03-22,511010,0.0010736962920454562,0.0010736962920454562,False,0.7443425835502183
2016-03-23,511010,0.0011095290049374373,0.0011095290049374373,False,0.7451684532362773
2016-03-24,511010,0.0022535419398932444,0.0022535419398932444,False,0.7468477215979307
2016-03-25,511010,0.0011150223925984193,0.0011150223925984193,False,0.7476804735313735
2016-03-28,511010,0.0003866014967000009,0.0003866014967000009,False,0.7479695279214941
2016-03-29,511010,0.0003864520937422178,0.0003864520937422178,False,0.7482585823116147
2016-03-30,511010,0.0005610588375966064,0.0005610588375966064,False,0.7486783994020281
2016-03-31,511010,-0.00027577584938964783,-0.00027577584938964783,False,0.7484719319805133
2016-04-01,159928,-0.006153846153846176,-0.006353846153846176,True,0.7437162564742371
2016-04-05,159928,0.006191950464396356,0.006191950464396356,False,0.7483213106938919
2016-04-06,159928,0.006153846153846176,0.006153846153846176,False,0.7529263649135466
2016-04-07,159928,-0.012232415902140636,-0.012232415902140636,False,0.7437162564742372
2016-04-08,159928,-0.009287925696594423,-0.009287925696594423,False,0.7368086751447551
2016-04-11,159928,0.009374999999999911,0.009374999999999911,False,0.7437162564742371
2016-04-12,159928,-0.006191950464396245,-0.006191950464396245,False,0.7391112022545824
2016-04-13,159928,0.012461059190031154,0.012461059190031154,False,0.7483213106938919
2016-04-14,159928,0.0,0.0,False,0.7483213106938919
2016-04-15,159928,-0.012307692307692353,-0.012307692307692353,False,0.7391112022545824
2016-04-18,159928,-0.0031152647975077885,-0.0031152647975077885,False,0.736808675144755
2016-04-19,159928,0.0,0.0,False,0.736808675144755
2016-04-20,159928,-0.025000000000000022,-0.025000000000000022,False,0.7183884582661361
2016-04-21,159928,0.0,0.0,False,0.7183884582661361
2016-04-22,159928,0.0064102564102563875,0.0064102564102563875,False,0.7229935124857908
2016-04-25,159928,0.01273885350318471,0.01273885350318471,False,0.7322036209251003
2016-04-26,159928,-0.009433962264150941,-0.009433962264150941,False,0.7252960395956182
2016-04-27,159928,0.015873015873015817,0.015873015873015817,False,0.7368086751447549
2016-04-28,159928,-0.006249999999999978,-0.006249999999999978,False,0.7322036209251002
2016-04-29,159928,0.0062893081761006275,0.0062893081761006275,False,0.7368086751447549
2016-05-03,511010,0.0005832631257347565,0.0003832631257347565,True,0.7370910667406594
2016-05-04,511010,-0.00020356045745573148,-0.00020356045745573148,False,0.7369410241459271
2016-05-05,511010,0.0006755881318598611,0.0006755881318598611,False,0.7374388927557207
2016-05-06,511010,-0.0006473868691445617,-0.0006473868691445617,False,0.7369614844997542
2016-05-09,511010,0.0008143850005088993,0.0008143850005088993,False,0.7375616548786835
2016-05-10,511010,0.0014887419668039303,0.0014887419668039303,False,0.7386596938674068
2016-05-11,511010,0.0006001514228204385,0.0006001514228204385,False,0.7391030015336615
