date,portfolio_value,nav,daily_return
2015-06-03,131381.06218587694,1.3138106218587695,-0.011053445559346842
2015-06-04,129160.19976220626,1.2916019976220627,-0.016903976773521734
2015-06-05,130625.0043450661,1.306250043450661,0.011340990379053784
2015-06-08,130691.74491603948,1.3069174491603948,0.0005109325837575618
2015-06-09,130050.3712835442,1.300503712835442,-0.0049075297977489996
2015-06-10,132479.34079217882,1.3247934079217882,0.01867714397630449
2015-06-11,134043.27586287397,1.3404327586287397,0.011805124190257699
2015-06-12,136245.66438229493,1.3624566438229493,0.01643042894351532
2015-06-15,134570.48324209277,1.3457048324209278,-0.012295298700307433
2015-06-16,129881.33763385795,1.2988133763385796,-0.03484527583808272
2015-06-17,131218.83379057824,1.3121883379057824,0.010297831706128191
2015-06-18,127480.65111478145,1.2748065111478144,-0.028488156523040264
2015-06-19,119964.45586029965,1.1996445586029965,-0.05895949847098236
2015-06-23,122473.18047380104,1.2247318047380105,0.020912232673508058
2015-06-24,125629.11408385787,1.2562911408385786,0.025768364942003963
2015-06-25,122978.6303062716,1.229786303062716,-0.02109768740243656
2015-06-26,112714.11427918683,1.1271411427918683,-0.08346585094923853
2015-06-29,105543.67487310717,1.0554367487310716,-0.06361616246496749
2015-06-30,114665.13463436166,1.1466513463436165,0.0864235566197693
2015-07-01,113757.08870115275,1.1375708870115275,-0.007919111036710835
2015-07-02,108514.25715805338,1.0851425715805338,-0.04608795463175597
2015-07-03,101515.82791784608,1.0151582791784608,-0.06449317742657479
2015-07-06,104514.28555446872,1.045142855544687,0.029536848569557073
2015-07-07,94124.44989368004,0.9412444989368004,-0.09941067487251687
2015-07-08,84799.21808146383,0.8479921808146382,-0.09907342696557264
2015-07-09,93200.78002398912,0.9320078002398913,0.09907593646033619
2015-07-10,102526.30480078772,1.0252630480078773,0.10005844129628838
2015-07-13,112913.04205900132,1.1291304205900132,0.10130802313021436
2015-07-14,114950.21900129065,1.1495021900129065,0.01804199856049249
2015-07-15,105226.89818821884,1.0522689818821884,-0.08458723173865934
2015-07-16,106610.75908498986,1.0661075908498985,0.013151208679511805
2015-07-17,110896.44385054131,1.1089644385054132,0.04019936451380968
2015-07-20,110218.08481422359,1.102180848142236,-0.006117049499188343
2015-07-21,109708.07819393603,1.0970807819393602,-0.004627249885054696
2015-07-22,110918.3248110297,1.109183248110297,0.011031517797206014
2015-07-23,113734.4222255008,1.137344222255008,0.025388928468482286
2015-07-24,111321.64028926562,1.113216402892656,-0.021214174996654678
2015-07-27,103353.04508183239,1.0335304508183238,-0.07158172648846262
2015-07-28,103478.11719781831,1.0347811719781832,0.0012101444702175002
2015-07-29,107317.47350230365,1.0731747350230365,0.03710307462538842
2015-07-30,105778.3945261449,1.057783945261449,-0.014341364233902865
2015-07-31,104484.77925704236,1.0448477925704236,-0.01222948481017827
2015-08-03,103392.2814998058,1.033922814998058,-0.010456046947746489
2015-08-04,103277.86780143318,1.0327786780143318,-0.001106598062378894
2015-08-05,103516.03562088992,1.0351603562088991,0.002306087688745073
2015-08-06,103712.69701537908,1.0371269701537909,0.0018998157465128784
2015-08-07,103778.90964568449,1.0377890964568448,0.0006384235702172614
2015-08-10,103753.21519213312,1.0375321519213312,-0.000247588393817999
2015-08-11,103684.0378171872,1.036840378171872,-0.0006667492165695066
2015-08-12,103613.87219402775,1.0361387219402776,-0.000676725411515755
2015-08-13,103501.21189768722,1.0350121189768722,-0.0010873090055891765
2015-08-14,103451.79948701155,1.0345179948701155,-0.00047740900584347656
2015-08-17,103115.79509441699,1.03115795094417,-0.0032479318316425143
2015-08-18,102737.29602864134,1.0273729602864135,-0.003670621609706548
2015-08-19,102799.5556660927,1.027995556660927,0.0006060081378236326
2015-08-20,102787.69668753054,1.0278769668753054,-0.00011536021226277171
2015-08-21,102814.3793892954,1.028143793892954,0.00025959042399770205
2015-08-24,102982.38158559267,1.0298238158559267,0.0016340340455798241
2015-08-25,103098.00662657374,1.0309800662657373,0.001122765265289427
2015-08-26,103196.83144792508,1.0319683144792509,0.0009585522027528715
2015-08-27,103471.56445128181,1.034715644512818,0.0026622232436988025
2015-08-28,103623.75467616288,1.0362375467616287,0.0014708410536570238
2015-08-31,103855.00475812503,1.0385500475812504,0.0022316319523918438
2015-09-01,104214.7271078439,1.042147271078439,0.003463697782852604
2015-09-02,104199.90338464119,1.041999033846412,-0.00014224211504543227
2015-09-07,104105.03155614392,1.0410503155614392,-0.0009104790447556077
2015-09-08,103729.4972350088,1.0372949723500882,-0.003607263890339274
2015-09-09,103757.16818498718,1.037571681849872,0.0002667606680448742
2015-09-10,103542.71832265478,1.0354271832265478,-0.002066843824708675
2015-09-11,103309.4917442656,1.033094917442656,-0.0022524672151489344
2015-09-14,103482.43518163046,1.0348243518163045,0.0016740324092674452
2015-09-15,103520.97686195748,1.0352097686195747,0.00037244659211355113
2015-09-16,103493.30591197911,1.0349330591197912,-0.0002672979990834268
2015-09-17,103465.63496200072,1.0346563496200072,-0.0002673694664070414
2015-09-18,103451.79948701155,1.0345179948701155,-0.00013372048597826147
2015-09-21,103470.5762030683,1.034705762030683,0.00018150207294453935
2015-09-22,103399.42233169534,1.0339942233169535,-0.0006876725150666285
2015-09-23,103415.23430311155,1.0341523430311155,0.0001529212742163999
2015-09-24,103409.30481383046,1.0340930481383046,-5.7336709828548216e-05
2015-09-25,103372.73962993047,1.0337273962993048,-0.00035359665134404583
2015-09-28,103395.46933884127,1.0339546933884127,0.00021988107301962323
2015-09-29,103521.96511017099,1.03521965110171,0.0012234169653524418
2015-09-30,103780.88614211151,1.0378088614211152,0.0025011216862524943
2015-10-08,103670.20234219801,1.0367020234219801,-0.0010665143074798378
2015-10-09,103947.90009019528,1.0394790009019528,0.0026786650524770472
2015-10-12,104521.08405403305,1.0452108405403306,0.005514146638271988
2015-10-13,104384.70580056822,1.0438470580056822,-0.0013047918006124926
