date,strategy_key,strategy_name,window_label,lookback_days,top_n,portfolio_value,nav,daily_return
2021-09-17,top2_12m,Top2 12m,12m,252,2,387667.90759178775,3.8766790759178775,-0.03249145670039677
2021-09-22,top2_12m,Top2 12m,12m,252,2,398875.91807481355,3.9887591807481355,0.028911370437265438
2021-09-23,top2_12m,Top2 12m,12m,252,2,393450.78774438857,3.9345078774438855,-0.013601047555363954
2021-09-24,top2_12m,Top2 12m,12m,252,2,377683.3741317005,3.776833741317005,-0.0400746779618385
2021-09-27,top2_12m,Top2 12m,12m,252,2,367456.90739283175,3.6745690739283177,-0.02707682529679667
2021-09-28,top2_12m,Top2 12m,12m,252,2,371041.3682860051,3.710413682860051,0.009754778917086426
2021-09-29,top2_12m,Top2 12m,12m,252,2,355329.95130875346,3.5532995130875347,-0.0423441112505305
2021-09-30,top2_12m,Top2 12m,12m,252,2,373362.3581642922,3.733623581642922,0.05074834471206735
2021-10-08,top2_12m,Top2 12m,12m,252,2,359714.17066692084,3.597141706669208,-0.03655480312604442
2021-10-11,top2_12m,Top2 12m,12m,252,2,367800.52095792117,3.6780052095792115,0.022479932542017966
2021-10-12,top2_12m,Top2 12m,12m,252,2,359241.8264348636,3.592418264348636,-0.02326993583578063
2021-10-13,top2_12m,Top2 12m,12m,252,2,354461.36376193166,3.5446136376193165,-0.013307088209559392
2021-10-14,top2_12m,Top2 12m,12m,252,2,353733.240303759,3.53733240303759,-0.0020541687546563603
2021-10-15,top2_12m,Top2 12m,12m,252,2,368522.26425959956,3.6852226425959955,0.04180840891045712
2021-10-18,top2_12m,Top2 12m,12m,252,2,386723.3241474738,3.8672332414747377,0.04938930874215175
2021-10-19,top2_12m,Top2 12m,12m,252,2,387172.8282636226,3.871728282636226,0.0011623403298464119
2021-10-20,top2_12m,Top2 12m,12m,252,2,372678.247494085,3.72678247494085,-0.0374369782986641
2021-10-21,top2_12m,Top2 12m,12m,252,2,379903.3535171907,3.7990335351719073,0.019386980784867003
2021-10-22,top2_12m,Top2 12m,12m,252,2,367967.3140769731,3.679673140769731,-0.0314186208932149
2021-10-25,top2_12m,Top2 12m,12m,252,2,379164.49385041127,3.7916449385041124,0.030429821739807794
2021-10-26,top2_12m,Top2 12m,12m,252,2,379273.51605124597,3.7927351605124597,0.00028753272683212927
2021-10-27,top2_12m,Top2 12m,12m,252,2,374130.2130739712,3.741302130739712,-0.013560933626010963
2021-10-28,top2_12m,Top2 12m,12m,252,2,354649.36058146576,3.5464936058146574,-0.05206971212627998
2021-10-29,top2_12m,Top2 12m,12m,252,2,355216.5135192833,3.5521651351928334,0.0015991934593868606
2021-11-01,top2_12m,Top2 12m,12m,252,2,355646.66638578364,3.5564666638578366,0.0012109596545459844
2021-11-02,top2_12m,Top2 12m,12m,252,2,349509.6334862913,3.4950963348629127,-0.017255983197759894
2021-11-03,top2_12m,Top2 12m,12m,252,2,354980.05574363057,3.549800557436306,0.015651706657618947
2021-11-04,top2_12m,Top2 12m,12m,252,2,355072.48560374684,3.5507248560374682,0.00026038043157838864
2021-11-05,top2_12m,Top2 12m,12m,252,2,343281.49158061424,3.4328149158061425,-0.03320728724751454
2021-11-08,top2_12m,Top2 12m,12m,252,2,350885.90677021595,3.5088590677021596,0.022152126974826825
2021-11-09,top2_12m,Top2 12m,12m,252,2,349348.5464603957,3.493485464603957,-0.004381368074800052
2021-11-10,top2_12m,Top2 12m,12m,252,2,339722.14070089045,3.3972214070089044,-0.027555305030005472
2021-11-11,top2_12m,Top2 12m,12m,252,2,342888.13298372814,3.4288813298372816,0.009319358097490626
2021-11-12,top2_12m,Top2 12m,12m,252,2,339550.37628527044,3.3955037628527043,-0.009734243846275414
2021-11-15,top2_12m,Top2 12m,12m,252,2,330669.9462867721,3.3066994628677207,-0.026153497739132336
2021-11-16,top2_12m,Top2 12m,12m,252,2,325165.3204944254,3.251653204944254,-0.016646888700229123
2021-11-17,top2_12m,Top2 12m,12m,252,2,329003.100778366,3.29003100778366,0.011802551016526275
2021-11-18,top2_12m,Top2 12m,12m,252,2,331610.86809712666,3.3161086809712668,0.007926269729954472
2021-11-19,top2_12m,Top2 12m,12m,252,2,337428.41597411956,3.3742841597411957,0.01754329678751354
2021-11-22,top2_12m,Top2 12m,12m,252,2,346753.6871829544,3.467536871829544,0.027636294892099622
2021-11-23,top2_12m,Top2 12m,12m,252,2,349120.7074310496,3.491207074310496,0.00682622949830769
2021-11-24,top2_12m,Top2 12m,12m,252,2,351751.414787662,3.5175141478766196,0.007535237242070281
2021-11-25,top2_12m,Top2 12m,12m,252,2,347701.8616443733,3.4770186164437327,-0.011512542588444918
2021-11-26,top2_12m,Top2 12m,12m,252,2,345796.8400705941,3.457968400705941,-0.005478893799330864
2021-11-29,top2_12m,Top2 12m,12m,252,2,346766.76293285773,3.4676676293285773,0.002804892207995957
2021-11-30,top2_12m,Top2 12m,12m,252,2,346029.0500454982,3.460290500454982,-0.002127403679407336
2021-12-01,top2_12m,Top2 12m,12m,252,2,352722.8770782879,3.527228770782879,0.019344696729680866
2021-12-02,top2_12m,Top2 12m,12m,252,2,355568.93497240724,3.5556893497240725,0.008068821386619796
2021-12-03,top2_12m,Top2 12m,12m,252,2,363879.8646045167,3.638798646045167,0.023373610050479776
2021-12-06,top2_12m,Top2 12m,12m,252,2,357216.27051914495,3.5721627051914493,-0.01831262109711429
2021-12-07,top2_12m,Top2 12m,12m,252,2,354173.7992785094,3.541737992785094,-0.008517168706268285
2021-12-08,top2_12m,Top2 12m,12m,252,2,356619.46614836564,3.5661946614836566,0.006905273272157286
2021-12-09,top2_12m,Top2 12m,12m,252,2,355470.29571043124,3.5547029571043125,-0.0032223996360768448
2021-12-10,top2_12m,Top2 12m,12m,252,2,354462.6162042939,3.544626162042939,-0.002834778371912705
2021-12-13,top2_12m,Top2 12m,12m,252,2,357491.53852579574,3.5749153852579574,0.008545110776240872
2021-12-14,top2_12m,Top2 12m,12m,252,2,350216.0578409281,3.502160578409281,-0.020351476610802832
2021-12-15,top2_12m,Top2 12m,12m,252,2,350780.84946041775,3.5078084946041774,0.001612694811801596
2021-12-16,top2_12m,Top2 12m,12m,252,2,365504.3955417795,3.655043955417795,0.04197363141120736
2021-12-17,top2_12m,Top2 12m,12m,252,2,356135.05419234355,3.5613505419234355,-0.025634004580295078
2021-12-20,top2_12m,Top2 12m,12m,252,2,344746.2975205615,3.4474629752056147,-0.031978757883325826
2021-12-21,top2_12m,Top2 12m,12m,252,2,347847.9185813679,3.4784791858136788,0.008996821961870127
2021-12-22,top2_12m,Top2 12m,12m,252,2,350306.9726031787,3.503069726031787,0.007069336599280662
2021-12-23,top2_12m,Top2 12m,12m,252,2,354452.8366164557,3.544528366164557,0.011834945740498704
2021-12-24,top2_12m,Top2 12m,12m,252,2,342651.7932469793,3.426517932469793,-0.03329369143191818
2021-12-27,top2_12m,Top2 12m,12m,252,2,345458.3073028034,3.454583073028034,0.00819057162733472
2021-12-28,top2_12m,Top2 12m,12m,252,2,344103.92775813694,3.4410392775813694,-0.0039205296732937045
2021-12-29,top2_12m,Top2 12m,12m,252,2,340873.0630551522,3.408730630551522,-0.00938921192801856
2021-12-30,top2_12m,Top2 12m,12m,252,2,339991.7128636573,3.399917128636573,-0.0025855671421953774
2021-12-31,top2_12m,Top2 12m,12m,252,2,339854.76215487265,3.3985476215487265,-0.0004028060202736494
2022-01-04,top2_12m,Top2 12m,12m,252,2,339144.0064515682,3.3914400645156824,-0.0020913513137136297
2022-01-05,top2_12m,Top2 12m,12m,252,2,329648.9635187668,3.296489635187668,-0.027997083103862508
2022-01-06,top2_12m,Top2 12m,12m,252,2,330567.8108766928,3.3056781087669282,0.002787350969097435
2022-01-07,top2_12m,Top2 12m,12m,252,2,326169.5298913141,3.261695298913141,-0.013305230699002801
2022-01-10,top2_12m,Top2 12m,12m,252,2,328232.40058078815,3.2823240058078813,0.006324535250614716
2022-01-11,top2_12m,Top2 12m,12m,252,2,322790.7259816727,3.227907259816727,-0.016578724676438727
2022-01-12,top2_12m,Top2 12m,12m,252,2,328896.92696675827,3.2889692696675827,0.01891690341014418
2022-01-13,top2_12m,Top2 12m,12m,252,2,328770.33971438487,3.2877033971438485,-0.000384884266146468
2022-01-14,top2_12m,Top2 12m,12m,252,2,323648.6979063728,3.2364869790637276,-0.015578174760112029
2022-01-17,top2_12m,Top2 12m,12m,252,2,327624.59882301814,3.2762459882301815,0.01228461891663657
2022-01-18,top2_12m,Top2 12m,12m,252,2,332006.6962252738,3.3200669622527377,0.013375361367852667
2022-01-19,top2_12m,Top2 12m,12m,252,2,329183.6416044855,3.291836416044855,-0.008503005068526637
2022-01-20,top2_12m,Top2 12m,12m,252,2,326450.7469115148,3.2645074691151477,-0.008302036758722986
2022-01-21,top2_12m,Top2 12m,12m,252,2,330729.93964666314,3.3072993964666315,0.013108233862636265
2022-01-24,top2_12m,Top2 12m,12m,252,2,334648.1245826975,3.346481245826975,0.011847082668779096
2022-01-25,top2_12m,Top2 12m,12m,252,2,321374.758866881,3.2137475886688103,-0.03966364889200624
2022-01-26,top2_12m,Top2 12m,12m,252,2,324487.91280073585,3.2448791280073586,0.009686989559576364
2022-01-27,top2_12m,Top2 12m,12m,252,2,316864.86517959845,3.1686486517959844,-0.023492547242641493
2022-01-28,top2_12m,Top2 12m,12m,252,2,308570.84172493545,3.0857084172493545,-0.026175270173807275
2022-02-07,top2_12m,Top2 12m,12m,252,2,318935.0955874997,3.1893509558749966,0.03358792361788687
2022-02-08,top2_12m,Top2 12m,12m,252,2,324194.38276137155,3.2419438276137154,0.01649014876893351
2022-02-09,top2_12m,Top2 12m,12m,252,2,324909.6241300359,3.2490962413003595,0.002206211478965825
2022-02-10,top2_12m,Top2 12m,12m,252,2,324135.791247157,3.2413579124715697,-0.0023816865534560527
2022-02-11,top2_12m,Top2 12m,12m,252,2,320853.8947891634,3.2085389478916335,-0.01012506655117007
2022-02-14,top2_12m,Top2 12m,12m,252,2,318583.9602724954,3.185839602724954,-0.007074667172606852
2022-02-15,top2_12m,Top2 12m,12m,252,2,321260.6600474555,3.212606600474555,0.00840186609730953
2022-02-16,top2_12m,Top2 12m,12m,252,2,323490.2895701254,3.234902895701254,0.006940250705892659
2022-02-17,top2_12m,Top2 12m,12m,252,2,328280.3691904732,3.282803691904732,0.014807491213146395
2022-02-18,top2_12m,Top2 12m,12m,252,2,334690.14107328735,3.3469014107328734,0.019525297533387054
2022-02-21,top2_12m,Top2 12m,12m,252,2,339461.5573107841,3.394615573107841,0.01425621986412784
2022-02-22,top2_12m,Top2 12m,12m,252,2,342017.74378161744,3.4201774378161742,0.00753012061537528
2022-02-23,top2_12m,Top2 12m,12m,252,2,346243.3130754654,3.4624331307546536,0.01235482477349481
2022-02-24,top2_12m,Top2 12m,12m,252,2,344688.6315928376,3.4468863159283765,-0.004490141538961212
2022-02-25,top2_12m,Top2 12m,12m,252,2,343152.73479777697,3.4315273479777697,-0.004455896290989192
2022-02-28,top2_12m,Top2 12m,12m,252,2,351714.4411815921,3.5171444118159214,0.02495013303292093
2022-03-01,top2_12m,Top2 12m,12m,252,2,357141.1043646907,3.5714110436469073,0.015429173635485682
2022-03-02,top2_12m,Top2 12m,12m,252,2,362026.0068261217,3.620260068261217,0.013677794019595124
2022-03-03,top2_12m,Top2 12m,12m,252,2,366358.9841279512,3.6635898412795123,0.011968690702131246
2022-03-04,top2_12m,Top2 12m,12m,252,2,363212.188293676,3.6321218829367603,-0.008589378098002864
2022-03-07,top2_12m,Top2 12m,12m,252,2,363046.86087097967,3.630468608709797,-0.00045518137338129705
2022-03-08,top2_12m,Top2 12m,12m,252,2,340662.1231651532,3.406621231651532,-0.0616579844599775
2022-03-09,top2_12m,Top2 12m,12m,252,2,342469.98459482985,3.4246998459482985,0.005306904720957739
2022-03-10,top2_12m,Top2 12m,12m,252,2,343991.6200544255,3.439916200544255,0.004443120647188659
2022-03-11,top2_12m,Top2 12m,12m,252,2,342953.8470259068,3.4295384702590677,-0.003016855551174591
2022-03-14,top2_12m,Top2 12m,12m,252,2,328522.02933898795,3.2852202933898793,-0.04208093249885214
2022-03-15,top2_12m,Top2 12m,12m,252,2,304685.69691058155,3.0468569691058156,-0.07255626807239357
2022-03-16,top2_12m,Top2 12m,12m,252,2,315455.3898376982,3.154553898376982,0.03534689365571797
2022-03-17,top2_12m,Top2 12m,12m,252,2,322014.157729235,3.2201415772923503,0.020791427576847932
2022-03-18,top2_12m,Top2 12m,12m,252,2,332543.8044929689,3.325438044929689,0.03269932861954383
2022-03-21,top2_12m,Top2 12m,12m,252,2,340596.29179910704,3.4059629179910704,0.02421481680711457
2022-03-22,top2_12m,Top2 12m,12m,252,2,347788.929669161,3.4778892966916097,0.02111778091317662
2022-03-23,top2_12m,Top2 12m,12m,252,2,345916.4220045452,3.4591642200454524,-0.005384034697127893
2022-03-24,top2_12m,Top2 12m,12m,252,2,349674.6301550985,3.496746301550985,0.010864497640137749
2022-03-25,top2_12m,Top2 12m,12m,252,2,346171.34894942556,3.461713489494256,-0.010018688528015351
2022-03-28,top2_12m,Top2 12m,12m,252,2,349085.49495655595,3.4908549495655596,0.008418218364906194
2022-03-29,top2_12m,Top2 12m,12m,252,2,351830.4691187736,3.518304691187736,0.007863329189771173
2022-03-30,top2_12m,Top2 12m,12m,252,2,349073.62361350073,3.490736236135007,-0.007835721312534183
2022-03-31,top2_12m,Top2 12m,12m,252,2,349731.24623083754,3.4973124623083756,0.001883908072255247
2022-04-01,top2_12m,Top2 12m,12m,252,2,349247.8539701767,3.492478539701767,-0.0013821820780114402
2022-04-06,top2_12m,Top2 12m,12m,252,2,340998.8466921424,3.4099884669214244,-0.02361934993804904
2022-04-07,top2_12m,Top2 12m,12m,252,2,339124.0279380185,3.391240279380185,-0.005498020806552928
2022-04-08,top2_12m,Top2 12m,12m,252,2,340581.00426428963,3.405810042642896,0.0042962934096117955
2022-04-11,top2_12m,Top2 12m,12m,252,2,328615.13997552346,3.2861513997552345,-0.035133680795305544
2022-04-12,top2_12m,Top2 12m,12m,252,2,332141.1183955071,3.321411183955071,0.010729811232210062
2022-04-13,top2_12m,Top2 12m,12m,252,2,337229.91412110924,3.3722991412110925,0.015321185615875699
2022-04-14,top2_12m,Top2 12m,12m,252,2,346503.9300703391,3.465039300703391,0.027500573231766356
2022-04-15,top2_12m,Top2 12m,12m,252,2,339444.12562163203,3.39444125621632,-0.020374384923351307
2022-04-18,top2_12m,Top2 12m,12m,252,2,339074.9736729826,3.390749736729826,-0.001087519037112128
2022-04-19,top2_12m,Top2 12m,12m,252,2,345010.16212805203,3.4501016212805204,0.01750405932581023
2022-04-20,top2_12m,Top2 12m,12m,252,2,326978.5057345962,3.2697850573459624,-0.0522641312424974
2022-04-21,top2_12m,Top2 12m,12m,252,2,315591.67761934735,3.1559167761934734,-0.034824393394504716
2022-04-22,top2_12m,Top2 12m,12m,252,2,313596.07958482514,3.1359607958482516,-0.006323354435629924
2022-04-25,top2_12m,Top2 12m,12m,252,2,291466.9447576656,2.914669447576656,-0.07056572536383954
2022-04-26,top2_12m,Top2 12m,12m,252,2,280622.6206031491,2.806226206031491,-0.037206017181580564
2022-04-27,top2_12m,Top2 12m,12m,252,2,300116.3482132762,3.0011634821327617,0.06946598805266913
2022-04-28,top2_12m,Top2 12m,12m,252,2,309509.2847282629,3.095092847282629,0.03129765029764964
2022-04-29,top2_12m,Top2 12m,12m,252,2,316429.9060627568,3.1642990606275676,0.022359979735567137
2022-05-05,top2_12m,Top2 12m,12m,252,2,315798.0389240575,3.157980389240575,-0.0019968628963089596
2022-05-06,top2_12m,Top2 12m,12m,252,2,309648.9351181579,3.096489351181579,-0.019471633917835462
2022-05-09,top2_12m,Top2 12m,12m,252,2,310180.6027573554,3.101806027573554,0.0017170013486227376
2022-05-10,top2_12m,Top2 12m,12m,252,2,309538.99417885387,3.0953899417885387,-0.0020685000054739833
2022-05-11,top2_12m,Top2 12m,12m,252,2,319632.0494826762,3.196320494826762,0.03260673289514693
