date,portfolio_value,nav,gross_return,cost,daily_return,one_way_turnover,two_way_traded,cash_target
2021-05-25,319098.1899323948,3.1909818993239476,0.028386910140043943,0.0,0.028386910140043943,0.0,0.0,False
2021-05-26,317243.5645447898,3.172435645447898,-0.00581208369749105,0.0,-0.00581208369749105,0.0,0.0,False
2021-05-27,322838.5826448391,3.228385826448391,0.017636348614597026,0.0,0.017636348614597026,0.0,0.0,False
2021-05-28,319332.47794963047,3.193324779496305,-0.010860240639408712,0.0,-0.010860240639408712,0.0,0.0,False
2021-05-31,321560.89534065535,3.2156089534065537,0.006978361253240212,0.0,0.006978361253240212,0.0,0.0,False
2021-06-01,330018.9186321495,3.300189186321495,0.02636968862626743,6.666666666666667e-05,0.026303021959600763,0.3333333333333333,0.6666666666666666,False
2021-06-02,327253.4966871902,3.272534966871902,-0.008379586105006814,0.0,-0.008379586105006814,0.0,0.0,False
2021-06-03,332103.61429443327,3.3210361429443327,0.014820674664567862,0.0,0.014820674664567862,0.0,0.0,False
2021-06-04,335393.3075315444,3.353933075315444,0.009905623111329845,0.0,0.009905623111329845,0.0,0.0,False
2021-06-07,338462.1873632515,3.3846218736325153,0.009150092630928437,0.0,0.009150092630928437,0.0,0.0,False
2021-06-08,326210.66011942126,3.262106601194213,-0.03619762473106458,0.0,-0.03619762473106458,0.0,0.0,False
2021-06-09,331581.63497446233,3.3158163497446234,0.0164647435282305,0.0,0.0164647435282305,0.0,0.0,False
2021-06-10,336740.3468251077,3.367403468251077,0.015557893762851695,0.0,0.015557893762851695,0.0,0.0,False
2021-06-11,335940.8667025462,3.359408667025462,-0.0023741738407625865,0.0,-0.0023741738407625865,0.0,0.0,False
2021-06-15,334184.18495968427,3.3418418495968427,-0.00522913975934162,0.0,-0.00522913975934162,0.0,0.0,False
2021-06-16,323076.60045333847,3.230766004533385,-0.03323791192478424,0.0,-0.03323791192478424,0.0,0.0,False
