symbol,name,sma_window,trade_number,entry_date,exit_date,entry_close,exit_close,days_held,total_return,peak_return,giveback_from_peak,max_drawdown,false_breakout,lagging_stop,open_trade
159915,创业板ETF易方达,50,43,2020-04-30,2020-08-21,1.993,2.547,77,0.3022565821707939,0.4340448989496015,-0.09189971448965017,-0.10670949321912904,False,True,False
159915,创业板ETF易方达,50,44,2020-08-24,2020-09-08,2.598,2.564,12,0.004687801933806135,0.049617797871153835,-0.04280605381165903,-0.04745889387144986,False,False,False
159915,创业板ETF易方达,50,45,2020-10-12,2020-10-26,2.683,2.533,11,-0.02051541349201269,0.0404549361045039,-0.058599702380952245,-0.06398809523809523,True,False,False
159915,创业板ETF易方达,50,46,2020-10-28,2020-11-19,2.577,2.556,17,-0.0035432114255917746,0.06105427216724868,-0.0608804707613092,-0.06803972048547258,True,False,False
159915,创业板ETF易方达,50,47,2020-11-23,2020-11-26,2.593,2.522,4,-0.022915743034878977,0.005599378881987693,-0.0283563440030854,-0.0283563440030854,True,False,False
159915,创业板ETF易方达,50,48,2020-12-02,2021-02-25,2.593,2.878,55,0.10384739618668282,0.2642949924603375,-0.12690677194047983,-0.12690677194047983,False,True,False
159915,创业板ETF易方达,50,49,2021-04-20,2021-07-28,2.791,3.183,68,0.13533672791821072,0.23357267142497418,-0.07963531114327072,-0.09117221418234434,False,False,False
159915,创业板ETF易方达,50,50,2021-07-30,2021-08-16,3.328,3.206,12,-0.047194944000156225,0.025170618313900217,-0.0705887986070809,-0.0705887986070809,True,False,False
159915,创业板ETF易方达,50,51,2021-10-20,2021-12-21,3.185,3.247,45,0.015520248911897516,0.06223773367698726,-0.043980253463012375,-0.04951370468611893,False,False,False
159915,创业板ETF易方达,50,52,2022-06-06,2022-08-04,2.477,2.565,44,0.07291646779169625,0.15940181370198414,-0.07459479956663095,-0.07800650054171232,False,False,False
159915,创业板ETF易方达,50,53,2022-08-08,2022-08-09,2.596,2.614,2,0.0010677423877814007,0.0010677423877814007,0.0,0.0,False,False,False
159915,创业板ETF易方达,50,54,2022-08-10,2022-08-11,2.579,2.647,2,0.010612353160554866,0.010612353160554866,0.0,0.0,False,False,False
159915,创业板ETF易方达,50,55,2022-08-12,2022-08-15,2.613,2.638,2,-0.005395798374232541,-0.005395798374232541,0.0,0.0,True,False,False
159915,创业板ETF易方达,50,56,2022-08-16,2022-08-25,2.652,2.59,8,-0.020156838902820606,0.02210585599493209,-0.04134864764727686,-0.04134864764727686,True,False,False
159915,创业板ETF易方达,50,57,2022-11-07,2022-11-10,2.379,2.288,4,-0.04180256696754037,-0.0026785564414603114,-0.03922908785203871,-0.03922908785203871,True,False,False
159915,创业板ETF易方达,50,58,2022-11-16,2022-11-18,2.33,2.315,3,-0.021456778320817826,-0.014130029648454112,-0.007431759656652437,-0.007431759656652437,True,False,False
159915,创业板ETF易方达,50,59,2022-11-22,2022-11-23,2.273,2.269,2,-0.023538421754943473,-0.020836136265631633,-0.002759788825341003,-0.002759788825341003,True,False,False
159915,创业板ETF易方达,50,60,2022-12-02,2022-12-19,2.316,2.274,12,-0.017985632901217685,0.014996568188935466,-0.0324948892674618,-0.0324948892674618,True,False,False
159915,创业板ETF易方达,50,61,2023-01-06,2023-02-20,2.35,2.403,27,0.029288329968038873,0.08776162724865255,-0.05375561687031938,-0.06267244777296033,False,False,False
159915,创业板ETF易方达,50,62,2023-02-21,2023-02-23,2.395,2.385,3,-0.00947464904586015,-0.004329171868497683,-0.005167849686847359,-0.007515657620041805,True,False,False
159915,创业板ETF易方达,50,63,2023-02-24,2023-02-27,2.357,2.34,2,-0.020847971928036335,-0.012740041928721024,-0.008212558336869069,-0.008212558336869069,True,False,False
159915,创业板ETF易方达,50,64,2023-04-18,2023-04-20,2.354,2.314,3,-0.023122030939165317,-0.005230118443316334,-0.017985981308411225,-0.017985981308411225,True,False,False
159915,创业板ETF易方达,50,65,2023-07-14,2023-07-18,2.169,2.147,3,-0.01801544603294758,-0.0069578368469294105,-0.01113508529276186,-0.01113508529276186,True,False,False
159915,创业板ETF易方达,50,66,2023-07-31,2023-08-14,2.182,2.113,11,-0.02506772554943526,0.017945072384359495,-0.04225453720508199,-0.04225453720508199,True,False,False
159915,创业板ETF易方达,50,67,2023-11-07,2023-11-17,1.967,1.934,9,-0.025679367200145076,-0.00604998913162591,-0.019748858447488526,-0.023338406900050734,True,False,False
159915,创业板ETF易方达,50,68,2023-11-21,2023-11-22,1.931,1.899,2,-0.024118885536061008,-0.006664263645726032,-0.017571724495080265,-0.017571724495080265,True,False,False
159915,创业板ETF易方达,50,69,2024-02-28,2024-02-29,1.701,1.761,2,0.006582565119365835,0.006582565119365835,0.0,0.0,False,False,False
159915,创业板ETF易方达,50,70,2024-03-01,2024-04-12,1.775,1.713,29,-0.02920429964056892,0.06367960745735068,-0.08732319999999993,-0.08732319999999993,False,False,False
159915,创业板ETF易方达,50,71,2024-04-16,2024-04-17,1.713,1.747,2,-0.0014272101897154776,-0.0014272101897154776,0.0,0.0,True,False,False
159915,创业板ETF易方达,50,72,2024-04-18,2024-04-19,1.738,1.705,2,-0.02601607447849119,-0.006151688609044137,-0.01998734177215189,-0.01998734177215189,True,False,False
159915,创业板ETF易方达,50,73,2024-04-29,2024-05-27,1.837,1.792,18,0.00816808153519788,0.0452128814012851,-0.035442349137930984,-0.040409482758620996,False,False,False
159915,创业板ETF易方达,50,74,2024-06-05,2024-06-11,1.796,1.752,4,-0.03184274489390693,-0.0065370985603543375,-0.02547216035634714,-0.026726057906458767,True,False,False
159915,创业板ETF易方达,50,75,2024-09-25,2024-12-16,1.61,2.158,54,0.35707749857772964,0.6857972634800611,-0.1949936519790889,-0.25504107542942467,False,True,False
159915,创业板ETF易方达,50,76,2025-02-10,2025-03-26,2.142,2.098,33,-0.0174519623496191,0.049635146941617636,-0.06391469405984762,-0.06391469405984762,False,False,False
159915,创业板ETF易方达,50,77,2025-05-13,2025-05-16,2.03,2.008,4,-0.016212520962199384,0.0073337836236520015,-0.023374878286270717,-0.023374878286270717,True,False,False
159915,创业板ETF易方达,50,78,2025-05-21,2025-05-26,2.034,1.977,4,-0.022276248792333808,0.006928642220019876,-0.029003933136676263,-0.029003933136676263,True,False,False
159915,创业板ETF易方达,50,79,2025-05-30,2025-06-03,1.972,1.977,2,-0.00802617099218117,-0.00802617099218117,0.0,0.0,True,False,False
159915,创业板ETF易方达,50,80,2025-06-05,2025-11-19,2.023,3.057,114,0.525464886060308,0.6483687592684142,-0.07456090909090873,-0.0989180834621326,False,False,False
159915,创业板ETF易方达,50,81,2025-12-09,2025-12-17,3.188,3.164,7,-0.004164012708093634,0.005621261851147308,-0.009730576441102867,-0.04135338345864681,True,False,False
159915,创业板ETF易方达,50,82,2025-12-18,2026-03-04,3.092,3.154,47,-0.005192529739076024,0.06433328167956853,-0.06532334618807512,-0.06532334618807512,False,False,False
159915,创业板ETF易方达,50,83,2026-03-11,2026-03-18,3.335,3.338,6,0.010749778461011994,0.015075899186329123,-0.004261869214691072,-0.022693341295909275,False,False,False
159915,创业板ETF易方达,50,84,2026-03-19,2026-03-24,3.303,3.237,4,-0.03220372631231805,-0.00011276293116968539,-0.03209458246034125,-0.033822208919485175,True,False,False
159915,创业板ETF易方达,50,85,2026-03-26,2026-03-27,3.263,3.293,2,-0.0062283330921391045,-0.0062283330921391045,0.0,0.0,True,False,False
159915,创业板ETF易方达,50,86,2026-03-30,2026-03-31,3.264,3.182,2,-0.03567293606015143,-0.009806559368357282,-0.026122549019607755,-0.026122549019607755,True,False,False
159915,创业板ETF易方达,50,87,2026-04-09,2026-06-18,3.32,4.269,48,0.27494734048300895,0.27494734048300895,0.0,-0.07671893848009625,False,False,True
159915,创业板ETF易方达,100,1,2015-06-03,2015-06-30,3.79,2.733,19,-0.27606280787523296,0.004838641188959825,-0.2795488126649075,-0.34300791556728216,True,False,False
159915,创业板ETF易方达,100,2,2015-07-01,2015-07-02,2.56,2.47,2,-0.09813179106064751,-0.06430040248810831,-0.03615624999999989,-0.03615624999999989,True,False,False
159915,创业板ETF易方达,100,3,2015-07-15,2015-07-16,2.405,2.489,2,-0.06516828929740393,-0.06516828929740393,0.0,0.0,True,False,False
159915,创业板ETF易方达,100,4,2015-07-20,2015-07-28,2.69,2.395,7,-0.11080980474862812,0.04805881571959625,-0.15158368794326238,-0.15158368794326238,True,False,False
159915,创业板ETF易方达,100,5,2015-11-05,2016-01-05,2.443,2.275,43,-0.0878350692068437,0.10213029116898631,-0.1723619810633652,-0.1723619810633652,False,True,False
