date,momentum_baseline,momentum_bond_defense,momentum_bond_defense_stress,buy_hold_510300
2018-03-22,152703.36003789812,152450.74060900108,147668.73467531934,122780.74866310159
2018-03-23,147562.7529959363,147318.63774936245,142697.35865254892,117219.2513368984
2018-03-26,144245.25998595104,144006.63291717067,139486.62385972467,115900.17825311942
2018-03-27,152497.20365682198,152244.92527547776,147464.85298487113,117967.91443850267
2018-03-28,152313.20825508778,152061.23426006024,147290.82967350562,116292.33511586452
2018-03-29,152798.2493312572,152545.4729255975,147761.69454257734,115329.76827094474
2018-03-30,151621.29382204165,151370.46447130275,146626.4044933376,117326.20320855614
2018-04-02,156635.94471832286,156376.819556377,151476.3026711532,117112.29946524063
2018-04-03,152700.95432570306,152448.3388766113,147671.65012050373,115757.57575757575
2018-04-04,154232.90031681786,153977.75054679642,149151.8367048773,116042.78074866309
2018-04-09,152116.92950758513,151865.28021939495,147103.33489519102,115508.02139037433
2018-04-10,152160.27970567514,151908.5587026106,147145.32433983695,115686.27450980392
2018-04-11,153349.51856065914,153095.83018215315,148294.0858560258,118573.97504456327
2018-04-12,152321.3971522668,152069.4096102254,147299.81065147172,118360.07130124776
2018-04-13,153136.86201879848,152883.52544115752,148088.629121779,117754.01069518716
2018-04-16,150159.67043274894,149911.25906721858,145212.23484232387,115721.92513368983
2018-04-17,151656.4551229527,151405.56760435321,146659.4129600175,114188.94830659535
2018-04-18,148490.85363207717,148245.20301488275,143482.13482478895,112976.82709447415
2018-04-19,150352.56859453343,150103.83811471862,145278.837452359,112406.41711229946
2018-04-20,151753.14553285085,151502.098057875,146631.08889316878,113547.23707664883
2018-04-23,151714.04931465982,151463.06651713647,146594.6345406567,111622.10338680926
2018-04-24,148658.10650572862,148412.17919962958,143643.8753843878,112727.27272727272
2018-04-25,150297.83388906595,150049.19395768465,145227.80135884212,114688.05704099822
2018-04-26,152758.18715338423,152505.47702317845,147605.84839028574,114616.75579322637
2018-04-27,150521.34584680945,150272.3361562879,145444.89415148192,112442.06773618537
2018-05-02,150896.47219092798,150646.84192334255,145809.14576271566,112584.67023172905
2018-05-03,150347.7981081443,150099.0755202158,145280.1788609048,112085.5614973262
2018-05-04,149933.57554583473,149685.53821242257,144879.472897159,113155.08021390374
2018-05-07,151366.95383732955,151116.54524499222,146265.20395950245,112798.57397504455
2018-05-08,154869.92056174768,154613.71695970558,149650.14870105096,114901.96078431372
2018-05-09,154440.0595121617,154184.56703561696,149234.86099630033,116506.23885918003
2018-05-10,154591.67389853677,154335.93060406833,149382.0198148943,116541.88948306594
2018-05-11,156384.54004687368,156125.83078739725,151117.42074746676,117326.20320855614
2018-05-14,152769.05515427154,152516.32704497103,147621.7715398363,116541.88948306594
2018-05-15,152698.68196152768,152446.0702716416,147556.15370531462,117754.01069518716
2018-05-16,155334.10734313563,155077.13583002996,150103.23216685944,117504.45632798574
2018-05-17,157420.8586419599,157160.43498529156,152121.34372659336,116934.04634581105
2018-05-18,155351.4768885224,155094.47664072074,150001.2922746237,115864.5276292335
2018-05-21,156634.1991385895,156375.07686438202,151239.80200153549,118110.51693404633
2018-05-22,156745.702926611,156486.39619003652,151347.14091896382,117860.96256684492
2018-05-23,158225.83301327602,157964.0776755896,152776.82324639842,116934.04634581105
2018-05-24,156231.13601079158,155972.68052988278,150852.36317336952,115436.72014260248
2018-05-25,155609.1890342516,155351.76244943246,150252.79332390713,114331.55080213903
2018-05-28,157707.14237015555,157446.24511007793,152279.4986872439,114331.55080213903
2018-05-29,162018.67655728597,161750.64666238124,156442.79514490595,114723.70766488413
2018-05-30,152189.68515129344,151937.91550236498,146948.20820567152,112299.4652406417
2018-05-31,157496.5059760156,157235.9571748427,152072.4612930679,111800.35650623885
2018-06-01,162232.579303088,161964.19554570457,156644.15499966958,113155.08021390374
2018-06-04,160134.62596718405,159869.71288505913,154617.4496363328,113547.23707664883
2018-06-05,160005.76989431947,159741.06998070324,154491.6991116911,114010.69518716577
2018-06-06,163073.41012837,162803.63537210593,157455.85587042838,115115.86452762922
2018-06-07,163425.27377727762,163154.91692777077,157796.2842299267,115543.67201426024
2018-06-08,160928.3810408768,160662.15483798395,155384.68685198418,114723.70766488413
2018-06-11,159178.16762657952,158914.8368276454,153695.8630345855,112620.32085561496
2018-06-12,156882.80645407765,156623.27290510823,151477.98507072596,113582.88770053475
2018-06-13,160400.5855675153,160135.2325044867,154874.04431273666,114438.50267379679
2018-06-14,158478.56405606522,158216.39062167367,153017.55312914908,113119.42959001783
2018-06-15,157062.09362027838,156802.26347389602,151647.1606172182,112941.17647058822
2018-06-19,153762.83796496014,153508.46582604546,148461.65469657676,112049.91087344028
2018-06-20,150029.93802881136,149781.7412815172,144857.4299319603,107843.13725490196
2018-06-21,154035.2616363402,153780.43882291345,148724.66245234094,108377.89661319072
2018-06-22,153487.52163295497,153233.6049539237,148195.80235982998,106880.57040998217
2018-06-25,156007.95317915338,155749.86691290664,150629.32110990596,108235.29411764705
2018-06-26,153991.02941006963,153736.27977066953,148681.93719364866,104777.183600713
2018-06-27,153861.225391883,153606.6904891916,148556.60599855438,104848.48484848485
2018-06-28,147535.13775262656,147291.0681903585,142448.60191303573,101176.47058823529
2018-06-29,145648.01800172945,145407.07032959932,140626.54919187268,101140.81996434937
2018-07-02,150027.04536818631,149778.85340626343,144854.5853509777,104064.17112299465
2018-07-03,148124.2173216573,147879.17323633836,143017.34268325634,100891.26559714794
2018-07-04,145616.60141046566,145375.7057112675,140596.16929875605,100213.9037433155
2018-07-05,143887.80960839387,143649.77387506427,138926.9830848212,99215.6862745098
2018-07-06,141541.41430665267,141307.2602498032,136661.5207885318,98395.72192513368
2018-07-09,143976.27406093504,143738.09197955212,139012.43360220583,99750.44563279857
2018-07-10,148298.25356611452,148052.9215700602,143185.39913704287,102959.0017825312
2018-07-11,147490.90552635601,147246.9091381146,142405.87665434345,100819.96434937611
2018-07-12,147316.86928189878,147073.16080439274,142237.8202005569,100926.91622103387
2018-07-13,151711.6049439875,151460.62619022274,146481.04630622023,103992.86987522281
2018-07-16,153900.30882670963,153639.56343940418,148445.85137716588,104064.17112299465
2018-07-17,155968.44130714418,155277.1890235721,150027.2315880186,103493.76114081996
2018-07-18,154013.06182082,153799.10580685237,148597.9437093988,103030.30303030302
2018-07-19,153068.1716318247,153023.2076709096,147850.16038817778,102923.35115864527
2018-07-20,150076.45261806116,150711.20404270498,145616.57364337036,102281.63992869874
2018-07-23,149190.92682162055,149920.06351689209,144848.23649422487,104028.52049910872
2018-07-24,151975.32614494028,152226.99455574757,147073.30962414364,105846.70231729055
2018-07-25,152744.98158938112,152789.30142946562,147617.12954884244,107950.0891265597
2018-07-26,155178.91142359184,154676.8540323702,149441.82339939295,107771.83600713011
2018-07-27,152802.916765381,152878.63368533904,147705.12829567783,106024.95543672013
2018-07-30,151771.12381238583,152054.30342162406,146908.0999505826,105846.70231729055
2018-07-31,148363.33620117983,149355.94166546324,144301.0577974887,104991.08734402852
2018-08-01,149087.26697639865,149934.66834516975,144860.55726146232,106345.8110516934
2018-08-02,144797.07092664146,146595.00668984582,141635.50397473807,102388.5918003565
2018-08-03,141767.29117598952,144186.82541438483,139312.10854338366,99964.34937611407
2018-08-06,138193.36196911748,141385.47201395096,136604.05776758835,98288.77005347594
2018-08-07,134985.23011602167,138825.96282630882,134131.50356375473,97254.90196078431
2018-08-08,137623.36228278684,140974.838711285,136207.12527890375,100142.60249554367
