date,window_label,lookback_days,position,strategy_return,strategy_return_after_cost,trade,nav
2018-08-10,mom_2m,42,511010,-0.0011431040224659794,-0.0011431040224659794,False,1.1719523068505933
2018-08-13,mom_2m,42,511010,-0.0012615567610431144,-0.0012615567610431144,False,1.170473822494266
2018-08-14,mom_2m,42,511010,0.0022556255300720807,0.0022556255300720807,False,1.173113973130565
2018-08-15,mom_2m,42,511010,-0.0030517446256886904,-0.0030517446256886904,False,1.1695339288677435
2018-08-16,mom_2m,42,511010,-0.00035216036841390075,-0.00035216036841390075,False,1.1691220653684808
2018-08-17,mom_2m,42,511010,-0.006756634690080032,-0.006756634690080032,False,1.1612227346646742
2018-08-20,mom_2m,42,511010,0.000409247167100224,0.000409247167100224,False,1.161697961779208
2018-08-21,mom_2m,42,511010,4.545330581895435e-05,4.545330581895435e-05,False,1.161750764791934
2018-08-22,mom_2m,42,511010,0.0004817831430441455,0.0004817831430441455,False,1.1623104767268295
2018-08-23,mom_2m,42,511010,0.001035789244146379,0.001035789244146379,False,1.1635143854169818
2018-08-24,mom_2m,42,511010,0.0014794644883140418,0.0014794644883140418,False,1.1652357636318489
2018-08-27,mom_2m,42,511010,-0.00032627018796771434,-0.00032627018796771434,False,1.164855581940222
2018-08-28,mom_2m,42,511010,0.0014324309622670839,0.0014324309622670839,False,1.1665241571423628
2018-08-29,mom_2m,42,511010,0.0013941698352346599,0.0013941698352346599,False,1.1681504899343231
2018-08-30,mom_2m,42,511010,-8.136402263725362e-05,-8.136402263725362e-05,False,1.1680554445114164
2018-08-31,mom_2m,42,511010,0.00160933050042944,0.00160933050042944,False,1.1699352317644613
2018-09-03,mom_2m,42,512800,0.0021413276231263545,0.0019413276231263544,True,1.1722064593471544
2018-09-04,mom_2m,42,512800,0.010683760683760646,0.010683760683760646,False,1.1847300326307777
2018-09-05,mom_2m,42,512800,-0.0211416490486257,-0.0211416490486257,False,1.1596828860635309
2018-09-06,mom_2m,42,512800,-0.004319654427645814,-0.004319654427645814,False,1.1546734567500814
2018-09-07,mom_2m,42,512800,0.00433839479392617,0.00433839479392617,False,1.1596828860635306
2018-09-10,mom_2m,42,512800,-0.006479481641468721,-0.006479481641468721,False,1.1521687420933566
2018-09-11,mom_2m,42,512800,-0.006521739130434745,-0.006521739130434745,False,1.1446545981231826
2018-09-12,mom_2m,42,512800,0.002188183807439792,0.002188183807439792,False,1.1471593127799073
2018-09-13,mom_2m,42,512800,0.008733624454148492,0.008733624454148492,False,1.1571781714068061
2018-09-14,mom_2m,42,512800,0.0021645021645022577,0.0021645021645022577,False,1.1596828860635309
2018-09-17,mom_2m,42,512800,-0.008639308855291628,-0.008639308855291628,False,1.149664027436632
2018-09-18,mom_2m,42,512800,0.015250544662309462,0.015250544662309462,False,1.1671970300337051
2018-09-19,mom_2m,42,512800,0.006437768240343145,0.006437768240343145,False,1.174711174003879
2018-09-20,mom_2m,42,512800,0.002132196162046851,0.002132196162046851,False,1.1772158886606034
2018-09-21,mom_2m,42,512800,0.04042553191489362,0.04042553191489362,False,1.2248054671383726
2018-09-25,mom_2m,42,512800,-0.012269938650306789,-0.012269938650306789,False,1.2097771791980243
2018-09-26,mom_2m,42,512800,0.012422360248447228,0.012422360248447228,False,1.2248054671383724
2018-09-27,mom_2m,42,512800,-0.004089979550102263,-0.004089979550102263,False,1.2197960378249229
2018-09-28,mom_2m,42,512800,0.014373716632443578,0.014373716632443578,False,1.2373290404219957
2018-10-08,mom_2m,42,512800,-0.036437246963562764,-0.036437246963562764,False,1.1922441766009513
2018-10-09,mom_2m,42,512800,0.0,0.0,False,1.1922441766009513
2018-10-10,mom_2m,42,512800,0.004201680672268893,0.004201680672268893,False,1.1972536059144006
2018-10-11,mom_2m,42,512800,-0.03765690376569031,-0.03765690376569031,False,1.1521687420933562
2018-10-12,mom_2m,42,512800,0.021739130434782483,0.021739130434782483,False,1.177215888660603
2018-10-15,mom_2m,42,512800,-0.012765957446808418,-0.012765957446808418,False,1.162187600720255
2018-10-16,mom_2m,42,512800,0.006465517241379226,0.006465517241379226,False,1.169701744690429
2018-10-17,mom_2m,42,512800,0.0064239828693788414,0.0064239828693788414,False,1.1772158886606028
2018-10-18,mom_2m,42,512800,-0.019148936170212627,-0.019148936170212627,False,1.1546734567500807
2018-10-19,mom_2m,42,512800,0.03253796095444672,0.03253796095444672,False,1.1922441766009508
2018-10-22,mom_2m,42,512800,0.027310924369748024,0.027310924369748024,False,1.224805467138372
2018-10-23,mom_2m,42,512800,-0.02249488752556239,-0.02249488752556239,False,1.1972536059144003
2018-10-24,mom_2m,42,512800,0.02092050209205021,0.02092050209205021,False,1.2223007524816472
2018-10-25,mom_2m,42,512800,0.008196721311475308,0.008196721311475308,False,1.2323196111085457
2018-10-26,mom_2m,42,512800,-0.002032520325203291,-0.002032520325203291,False,1.229814896451821
2018-10-29,mom_2m,42,512800,-0.018329938900203735,-0.018329938900203735,False,1.2072724645412987
2018-10-30,mom_2m,42,512800,0.014522821576763434,0.014522821576763434,False,1.2248054671383715
2018-10-31,mom_2m,42,512800,0.002044989775051187,0.002044989775051187,False,1.2273101817950962
2018-11-01,mom_2m,42,512800,-0.006122448979591799,-0.006122448979591799,False,1.2197960378249222
2018-11-02,mom_2m,42,512800,0.022587268993839782,0.022587268993839782,False,1.2473478990488938
2018-11-05,mom_2m,42,512800,-0.014056224899598457,-0.014056224899598457,False,1.229814896451821
2018-11-06,mom_2m,42,512800,-0.006109979633401208,-0.006109979633401208,False,1.222300752481647
2018-11-07,mom_2m,42,512800,-0.004098360655737654,-0.004098360655737654,False,1.2172913231681977
2018-11-08,mom_2m,42,512800,0.008230452674897082,0.008230452674897082,False,1.2273101817950964
2018-11-09,mom_2m,42,512800,-0.030612244897959218,-0.030612244897959218,False,1.189739461944226
2018-11-12,mom_2m,42,512800,0.002105263157894832,0.002105263157894832,False,1.1922441766009508
2018-11-13,mom_2m,42,512800,0.004201680672268893,0.004201680672268893,False,1.1972536059144
2018-11-14,mom_2m,42,512800,-0.012552301255230103,-0.012552301255230103,False,1.182225317974052
2018-11-15,mom_2m,42,512800,0.008474576271186418,0.008474576271186418,False,1.1922441766009508
2018-11-16,mom_2m,42,512800,0.0,0.0,False,1.1922441766009508
2018-11-19,mom_2m,42,512800,0.01680672268907557,0.01680672268907557,False,1.2122818938547482
2018-11-20,mom_2m,42,512800,-0.016528925619834767,-0.016528925619834767,False,1.1922441766009506
2018-11-21,mom_2m,42,512800,-0.0021008403361344463,-0.0021008403361344463,False,1.1897394619442259
2018-11-22,mom_2m,42,512800,-0.002105263157894721,-0.002105263157894721,False,1.1872347472875011
2018-11-23,mom_2m,42,512800,-0.010548523206751037,-0.010548523206751037,False,1.1747111740038778
2018-11-26,mom_2m,42,512800,0.002132196162046851,0.002132196162046851,False,1.1772158886606023
2018-11-27,mom_2m,42,512800,-0.004255319148936065,-0.004255319148936065,False,1.172206459347153
2018-11-28,mom_2m,42,512800,0.0064102564102563875,0.0064102564102563875,False,1.179720603317327
2018-11-29,mom_2m,42,512800,-0.002123142250530785,-0.002123142250530785,False,1.1772158886606023
2018-11-30,mom_2m,42,512800,0.004255319148936065,0.004255319148936065,False,1.1822253179740516
2018-12-03,mom_2m,42,512880,0.032509752925877766,0.03230975292587777,True,1.2204227259005105
2018-12-04,mom_2m,42,512880,0.005037783375314797,0.005037783375314797,False,1.2265709512199083
2018-12-05,mom_2m,42,512880,-0.00877192982456143,-0.00877192982456143,False,1.2158115569109618
2018-12-06,mom_2m,42,512880,-0.029077117572692823,-0.029077117572692823,False,1.180459261324423
2018-12-07,mom_2m,42,512880,0.00390625,0.00390625,False,1.1850704303139714
2018-12-10,mom_2m,42,512880,-0.014267185473411215,-0.014267185473411215,False,1.1681628106856268
2018-12-11,mom_2m,42,512880,0.0052631578947368585,0.0052631578947368585,False,1.1743110360050248
2018-12-12,mom_2m,42,512880,0.002617801047120505,0.002617801047120505,False,1.177385148664724
2018-12-13,mom_2m,42,512880,0.011749347258485754,0.011749347258485754,False,1.1912186556333697
2018-12-14,mom_2m,42,512880,-0.029677419354838697,-0.029677419354838697,False,1.155866360046831
2018-12-17,mom_2m,42,512880,0.0066489361702126715,0.0066489361702126715,False,1.1635516416960785
2018-12-18,mom_2m,42,512880,-0.019815059445178362,-0.019815059445178362,False,1.1404957967483358
2018-12-19,mom_2m,42,512880,-0.008086253369272267,-0.008086253369272267,False,1.1312734587692388
2018-12-20,mom_2m,42,512880,0.009510869565217295,0.009510869565217295,False,1.1420328530781851
2018-12-21,mom_2m,42,512880,-0.018842530282637937,-0.018842530282637937,False,1.120514064460292
2018-12-24,mom_2m,42,512880,-0.005486968449931462,-0.005486968449931462,False,1.114365839140894
2018-12-25,mom_2m,42,512880,-0.02344827586206899,-0.02344827586206899,False,1.0882358815334523
2018-12-26,mom_2m,42,512880,-0.007062146892655385,-0.007062146892655385,False,1.0805505998842047
2018-12-27,mom_2m,42,512880,-0.004267425320056861,-0.004267425320056861,False,1.0759394308946562
2018-12-28,mom_2m,42,512880,0.024285714285714244,0.024285714285714244,False,1.1020693885020978
2019-01-02,mom_2m,42,159928,-0.008810572687224627,-0.009010572687224628,True,1.0921391121706345
2019-01-03,mom_2m,42,159928,-0.015555555555555545,-0.015555555555555545,False,1.0751502815368692
2019-01-04,mom_2m,42,159928,0.011286681715575675,0.011286681715575675,False,1.0872851605609875
2019-01-07,mom_2m,42,159928,0.01116071428571419,0.01116071428571419,False,1.0994200395851055
2019-01-08,mom_2m,42,159928,-0.004415011037527616,-0.004415011037527616,False,1.0945660879754582
2019-01-09,mom_2m,42,159928,0.01330376940133049,0.01330376940133049,False,1.1091279428044
2019-01-10,mom_2m,42,159928,-0.004376367614879695,-0.004376367614879695,False,1.1042739911947528
2019-01-11,mom_2m,42,159928,0.02417582417582409,0.02417582417582409,False,1.1309707250478127
2019-01-14,mom_2m,42,159928,-0.012875536480686733,-0.012875536480686733,False,1.1164088702188708
2019-01-15,mom_2m,42,159928,0.03913043478260869,0.03913043478260869,False,1.1600944347056963
2019-01-16,mom_2m,42,159928,-0.004184100418409997,-0.004184100418409997,False,1.155240483096049
2019-01-17,mom_2m,42,159928,-0.004201680672268893,-0.004201680672268893,False,1.1503865314864017
2019-01-18,mom_2m,42,159928,0.025316455696202445,0.025316455696202445,False,1.1795102411442853
2019-01-21,mom_2m,42,159928,0.016460905349794164,0.016460905349794164,False,1.1989260475828742
2019-01-22,mom_2m,42,159928,-0.01619433198380571,-0.01619433198380571,False,1.179510241144285
2019-01-23,mom_2m,42,159928,-0.002057613168724326,-0.002057613168724326,False,1.1770832653394614
2019-01-24,mom_2m,42,159928,0.006185567010309256,0.006185567010309256,False,1.1843641927539323
2019-01-25,mom_2m,42,159928,0.0,0.0,False,1.1843641927539323
2019-01-28,mom_2m,42,159928,0.006147540983606481,0.006147540983606481,False,1.191645120168403
2019-01-29,mom_2m,42,159928,0.004073319755600879,0.004073319755600879,False,1.1964990717780504
2019-01-30,mom_2m,42,159928,-0.014198782961460488,-0.014198782961460488,False,1.1795102411442848
2019-01-31,mom_2m,42,159928,0.008230452674897082,0.008230452674897082,False,1.1892181443635792
2019-02-01,mom_2m,42,159928,0.01836734693877551,0.01836734693877551,False,1.2110609266069918
2019-02-11,mom_2m,42,159928,0.038076152304609145,0.038076152304609145,False,1.2571734668986407
2019-02-12,mom_2m,42,159928,0.0038610038610038533,0.0038610038610038533,False,1.262027418508288
2019-02-13,mom_2m,42,159928,0.009615384615384581,0.009615384615384581,False,1.274162297532406
2019-02-14,mom_2m,42,159928,0.017142857142857126,0.017142857142857126,False,1.2960050797758187
2019-02-15,mom_2m,42,159928,-0.01310861423220977,-0.01310861423220977,False,1.2790162491420531
2019-02-18,mom_2m,42,159928,0.034155597722960174,0.034155597722960174,False,1.3227018136288786
2019-02-19,mom_2m,42,159928,-0.00917431192660556,-0.00917431192660556,False,1.3105669346047604
2019-02-20,mom_2m,42,159928,0.007407407407407307,0.007407407407407307,False,1.3202748378240547
2019-02-21,mom_2m,42,159928,-0.005514705882352922,-0.005514705882352922,False,1.3129939104095838
2019-02-22,mom_2m,42,159928,0.003696857670979714,0.003696857670979714,False,1.317847862019231
2019-02-25,mom_2m,42,159928,0.046040515653775094,0.046040515653775094,False,1.3785222571398215
2019-02-26,mom_2m,42,159928,-0.022887323943661775,-0.022887323943661775,False,1.3469715716771145
2019-02-27,mom_2m,42,159928,0.018018018018017834,0.018018018018017834,False,1.3712413297253505
2019-02-28,mom_2m,42,159928,-0.0035398230088495852,-0.0035398230088495852,False,1.3663873781157032
2019-03-01,mom_2m,42,512880,0.03386454183266929,0.033664541832669294,True,1.4123861831659106
2019-03-04,mom_2m,42,512880,0.005780346820809301,0.005780346820809301,False,1.4205502651495285
2019-03-05,mom_2m,42,512880,-0.0009578544061303873,-0.0009578544061303873,False,1.4191895848189253
2019-03-06,mom_2m,42,512880,0.056567593480345346,0.056567593480345346,False,1.4994697243245023
2019-03-07,mom_2m,42,512880,0.046279491833030706,0.046279491833030706,False,1.568864421185255
2019-03-08,mom_2m,42,512880,-0.09800520381613187,-0.09800520381613187,False,1.4151075438271163
2019-03-11,mom_2m,42,512880,0.01538461538461533,0.01538461538461533,False,1.4368784291167642
2019-03-12,mom_2m,42,512880,0.014204545454545414,0.014204545454545414,False,1.457288634075809
2019-03-13,mom_2m,42,512880,-0.019607843137254832,-0.019607843137254832,False,1.4287143471331463
2019-03-14,mom_2m,42,512880,-0.034285714285714364,-0.034285714285714364,False,1.3797298552314383
2019-03-15,mom_2m,42,512880,0.014792899408283988,0.014792899408283988,False,1.4001400601904832
2019-03-18,mom_2m,42,512880,0.02429543245869792,0.02429543245869792,False,1.4341570684555582
2019-03-19,mom_2m,42,512880,-0.011385199240986688,-0.011385199240986688,False,1.4178289044883223
2019-03-20,mom_2m,42,512880,0.018234165067178454,0.018234165067178454,False,1.4436818307697792
2019-03-21,mom_2m,42,512880,0.009425070688030113,0.009425070688030113,False,1.457288634075809
2019-03-22,mom_2m,42,512880,-0.00933706816059754,-0.00933706816059754,False,1.4436818307697792
2019-03-25,mom_2m,42,512880,-0.036757775683317506,-0.036757775683317506,False,1.3906152978762625
2019-03-26,mom_2m,42,512880,-0.03228962818003922,-0.03228962818003922,False,1.3457128469663635
2019-03-27,mom_2m,42,512880,0.006066734074823055,0.006066734074823055,False,1.3538769289499815
2019-03-28,mom_2m,42,512880,-0.007035175879396949,-0.007035175879396949,False,1.3443521666357605
2019-03-29,mom_2m,42,512880,0.09008097165991891,0.09008097165991891,False,1.465452716059427
2019-04-01,mom_2m,42,512880,0.010213556174559102,0.010213556174559102,False,1.4804201996960602
2019-04-02,mom_2m,42,512880,-0.006433823529411908,-0.006433823529411908,False,1.470895437381839
2019-04-03,mom_2m,42,512880,0.050878815911193254,0.050878815911193254,False,1.5457328555650036
2019-04-04,mom_2m,42,512880,0.0017605633802817433,0.0017605633802817433,False,1.5484542162262096
2019-04-08,mom_2m,42,512880,-0.021089630931458547,-0.021089630931458547,False,1.515797888291738
2019-04-09,mom_2m,42,512880,-0.0008976660682227244,-0.0008976660682227244,False,1.5144372079611348
2019-04-10,mom_2m,42,512880,-0.017070979335130243,-0.017070979335130243,False,1.488584281679678
2019-04-11,mom_2m,42,512880,-0.01919561243144441,-0.01919561243144441,False,1.4600099947370149
2019-04-12,mom_2m,42,512880,0.0037278657968313755,0.0037278657968313755,False,1.4654527160594268
2019-04-15,mom_2m,42,512880,-0.02228412256267409,-0.02228412256267409,False,1.432796388124955
2019-04-16,mom_2m,42,512880,0.02754036087369438,0.02754036087369438,False,1.4722561177124422
2019-04-17,mom_2m,42,512880,-0.007393715341959317,-0.007393715341959317,False,1.4613706750676183
2019-04-18,mom_2m,42,512880,-0.008379888268156499,-0.008379888268156499,False,1.4491245520921912
2019-04-19,mom_2m,42,512880,0.014084507042253724,0.014084507042253724,False,1.4695347570512365
