symbol,name,sma_window,capital_cny,commission_rate,min_commission_cny,slippage_rate,avg_effective_commission_rate,min_commission_bind_rate,trade_count,turnover_per_year,time_in_market,total_commission_cny,total_slippage_cny,total_cost_cny,gross_total_return,net_total_return,cost_drag_vs_gross,bh_total_return,excess_vs_bh,net_annualized_return,net_max_drawdown,net_sharpe,net_calmar
159915,创业板ETF易方达,250,5000,0.0001,5,0.0002,0.001,1,45,4.07620417,0.409417685,225,45,270,2.011339162,1.853024939,-0.158314223,1.997893258,-0.144868319,0.099620005,-0.350063806,0.554146603,0.284576708
159915,创业板ETF易方达,250,5000,0.0001,5,0.0005,0.001,1,45,4.07620417,0.409417685,225,112.5,337.5,2.011339162,1.814735807,-0.196603356,1.997893258,-0.183157452,0.098275009,-0.351366446,0.548354115,0.27969378
159915,创业板ETF易方达,50,5000,0.0001,5,0.0005,0.001,1,173,15.67074047,0.497483825,865,432.5,1297.5,2.614112328,1.787986904,-0.826125425,1.997893258,-0.209906355,0.097325484,-0.48970072,0.513799577,0.198744824
159915,创业板ETF易方达,250,3000,0.0001,5,0.0001,0.001666667,1,45,4.07620417,0.409417685,225,13.5,238.5,2.011339162,1.781123145,-0.230216017,1.997893258,-0.216770114,0.0970805,-0.356913407,0.543201666,0.272000149
159915,创业板ETF易方达,250,3000,0.0001,5,0.0002,0.001666667,1,45,4.07620417,0.409417685,225,27,252,2.011339162,1.768619848,-0.242719314,1.997893258,-0.229273411,0.096632812,-0.358981648,0.541268652,0.269185939
159915,创业板ETF易方达,250,3000,0.0001,5,0.0005,0.001666667,1,45,4.07620417,0.409417685,225,67.5,292.5,2.011339162,1.731438817,-0.279900345,1.997893258,-0.266454441,0.095290574,-0.365147779,0.535466915,0.260964408
159915,创业板ETF易方达,50,3000,0.0001,5,0.0001,0.001666667,1,173,15.67074047,0.497483825,865,51.9,916.9,2.614112328,1.662168361,-0.951943967,1.997893258,-0.335724897,0.092744974,-0.498208851,0.495807499,0.186156817
159915,创业板ETF易方达,50,3000,0.0001,5,0.0002,0.001666667,1,173,15.67074047,0.497483825,865,103.8,968.8,2.614112328,1.616455982,-0.997656346,1.997893258,-0.381437276,0.091031902,-0.501363278,0.489059011,0.181568747
159915,创业板ETF易方达,50,3000,0.0001,5,0.0005,0.001666667,1,173,15.67074047,0.497483825,865,259.5,1124.5,2.614112328,1.483948905,-1.130163423,1.997893258,-0.513944353,0.08590776,-0.51070993,0.468809505,0.168212433
159915,创业板ETF易方达,200,50000,0.0001,5,0.0001,0.0001,0,73,6.612508986,0.446441409,365,365,730,1.207460309,1.17552039,-0.031939919,1.997893258,-0.822372869,0.072944486,-0.45759696,0.429713981,0.159407716
159915,创业板ETF易方达,200,100000,0.0001,5,0.0001,0.0001,0,73,6.612508986,0.446441409,730,730,1460,1.207460309,1.17552039,-0.031939919,1.997893258,-0.822372869,0.072944486,-0.45759696,0.429713981,0.159407716
159915,创业板ETF易方达,200,200000,0.0001,5,0.0001,0.0001,0,73,6.612508986,0.446441409,1460,1460,2920,1.207460309,1.17552039,-0.031939919,1.997893258,-0.822372869,0.072944486,-0.45759696,0.429713981,0.159407716
159915,创业板ETF易方达,200,500000,0.0001,5,0.0001,0.0001,0,73,6.612508986,0.446441409,3650,3650,7300,1.207460309,1.17552039,-0.031939919,1.997893258,-0.822372869,0.072944486,-0.45759696,0.429713981,0.159407716
159915,创业板ETF易方达,200,1000000,0.0001,5,0.0001,0.0001,0,73,6.612508986,0.446441409,7300,7300,14600,1.207460309,1.17552039,-0.031939919,1.997893258,-0.822372869,0.072944486,-0.45759696,0.429713981,0.159407716
159915,创业板ETF易方达,200,50000,0.0001,5,0.0002,0.0001,0,73,6.612508986,0.446441409,365,730,1095,1.207460309,1.159721795,-0.047738514,1.997893258,-0.838171463,0.072236354,-0.460143141,0.426712105,0.156986701
