date,window_label,lookback_days,rebalance_frequency,position,strategy_return,strategy_return_after_cost,trade,nav
2024-06-27,mom_4m,84,weekly,512400,-0.023809523809523836,-0.023809523809523836,False,2.01353772302611
2024-06-28,mom_4m,84,weekly,512400,0.020148462354188768,0.020148462354188768,False,2.0541074120372405
2024-07-01,mom_4m,84,weekly,512400,0.023908523908523938,0.023908523908523938,False,2.103218088208609
2024-07-02,mom_4m,84,weekly,512400,-0.012182741116751328,-0.012182741116751328,False,2.077595126727895
2024-07-03,mom_4m,84,weekly,512400,0.0,0.0,False,2.077595126727895
2024-07-04,mom_4m,84,weekly,512400,-0.007194244604316502,-0.007194244604316502,False,2.0626483991974784
2024-07-05,mom_4m,84,weekly,512400,0.0269151138716357,0.0269151138716357,False,2.118164815739026
2024-07-08,mom_4m,84,weekly,512400,-0.011088709677419373,-0.011088709677419373,False,2.0946771010483713
2024-07-09,mom_4m,84,weekly,512400,0.021406727828746197,0.021406727828746197,False,2.139517283639621
2024-07-10,mom_4m,84,weekly,512400,-0.014970059880239583,-0.014970059880239583,False,2.1074885817887283
2024-07-11,mom_4m,84,weekly,512400,0.03850050658561299,0.03850050658561299,False,2.1886279598109892
2024-07-12,mom_4m,84,weekly,512400,-0.018536585365853564,-0.018536585365853564,False,2.148058270799859
2024-07-15,mom_4m,84,weekly,512800,0.010852713178294504,0.010652713178294504,True,2.170940919448953
2024-07-16,mom_4m,84,weekly,512800,-0.0030674846625766694,-0.0030674846625766694,False,2.164281591475183
2024-07-17,mom_4m,84,weekly,512800,0.007692307692307665,0.007692307692307665,False,2.1809299114096072
2024-07-18,mom_4m,84,weekly,512800,-0.0015267175572518665,-0.0015267175572518665,False,2.1776002474227223
2024-07-19,mom_4m,84,weekly,512800,-0.003058103975535187,-0.003058103975535187,False,2.1709409194489524
